agcnum,radeg,decdeg,vhel,sepmin
  7579,186.9804, 5.7211, 2252,420.6133
223674,187.0008,11.9494, 2248, 51.1515
223675,187.0087,15.4433, 2397,164.6703
  7583,187.0154, 9.8033,  515,176.6115
221665,187.0204,13.6117,  865, 57.9019
221561,187.0271,12.8981, 2308, 25.2822
  7585,187.0358,12.0925, 1899, 44.5593
220633,187.0471, 9.7603,  475,179.4173
223679,187.0500,10.3653, 1467,143.5611
220632,187.0512,10.2975, 1892,147.5827
223680,187.0529,10.5258, 1828,134.1087
  7589,187.0617,11.7892,  645, 61.3847
  7587,187.0662, 9.4361,  300,198.8483
223684,187.0771,11.6997, 1461, 66.6683
  7590,187.0783, 8.7292, 1106,241.0567
222015,187.0933, 8.7286, 1131,241.1874
221562,187.0987,13.1958, 1774, 39.2847
223690,187.1000,11.4206, 1625, 82.7914
223691,187.1133, 6.9458,  860,347.7853
  7595,187.1133,18.4153, 1697,342.6574
220637,187.1162,12.8231, 1704, 28.8496
  7594,187.1229,17.0847, 1945,263.2333
220639,187.1271, 7.3247, 1691,325.2031
  7596,187.1417, 8.6394,  560,246.8339
  7600,187.1692, 9.2586,  860,210.2389
223699,187.1729, 9.7317,  763,182.2600
223700,187.1729, 7.8042,  868,296.8389
220640,187.1733,12.9158,  436, 33.6073
223000,187.1779,12.5497, 1874, 33.4979
  7602,187.1800,14.9992, 1678,140.2241
  7601,187.1804,11.7544,  223, 66.3600
222878,187.1871,12.8097,   12, 32.7796
224192,187.1929,16.2242, 1978,212.5637
220645,187.2287, 9.4208, 1014,201.2002
  7610,187.2400,13.2417,  684, 47.1564
222755,187.2421,12.6617, 1417, 35.7828
224193,187.2492,12.6483,  844, 36.2861
  7614,187.2500,13.9783, 1215, 83.4640
  7613,187.2625,13.1833, 1925, 45.9725
223711,187.2763,14.0042,  453, 85.5252
220651,187.2837, 9.4439, 1040,200.4307
220652,187.3083,11.6903,  160, 73.5068
223714,187.3108, 7.8775, 1528,293.4610
221566,187.3113,12.9783, 2468, 42.4764
220653,187.3137, 8.8144,  968,237.9099
220658,187.3258,10.1358,   70,160.4726
223320,187.3383,16.8064,  862,248.3862
  7619,187.3388, 8.1564, 1265,277.1326
  7620,187.3438,11.4333, 1335, 87.8731
220661,187.3442, 9.9883,  761,169.3136
220662,187.3475,12.4506,  500, 44.8653
  7623,187.3592,16.4047, 1600,224.8799
224279,187.3650, 5.9736, 1662,407.2663
  7622,187.3671, 8.7500,  587,242.2638
  7621,187.3708, 6.7706,  525,359.7921
220663,187.3758, 7.9928, 1426,287.1687
  7626,187.3775, 7.6961,  673,304.7897
  7628,187.3787,14.0486,  895, 90.6405
223721,187.3829,13.5100,  355, 64.3809
222756,187.3958, 8.0581,  900,283.4824
220667,187.3979,10.7936, -123,124.1552
221568,187.4042, 7.9328,  885,290.9842
  7627,187.4071, 7.8231, 2360,297.5160
223321,187.4079, 7.1067,  795,340.0676
223725,187.4104,11.2989, 1485, 96.8359
221569,187.4138,12.5483, 1099, 46.8394
223729,187.4187,10.3850, 1454,147.6691
223731,187.4308,17.5156,  679,291.2314
