"epseason","epnum","epname","Chandler","Joey","Monica","Phoebe","Rachel","Ross"
9,11,"The One Where Rachel Goes Back to Work",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
9,11,"The One Where Rachel Goes Back to Work",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
9,11,"The One Where Rachel Goes Back to Work",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
9,12,"The One with Phoebe's Rats",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
9,12,"The One with Phoebe's Rats",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
9,12,"The One with Phoebe's Rats",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
9,13,"The One Where Monica Sings",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
9,13,"The One Where Monica Sings",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
9,13,"The One Where Monica Sings",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
9,14,"The One with the Blind Dates",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
9,14,"The One with the Blind Dates",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
9,14,"The One with the Blind Dates",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
9,15,"The One with the Mugging",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
9,15,"The One with the Mugging",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
9,15,"The One with the Mugging",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
9,16,"The One with the Boob Job",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
9,16,"The One with the Boob Job",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
9,16,"The One with the Boob Job",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
9,17,"The One with the Memorial Service",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
9,17,"The One with the Memorial Service",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
9,17,"The One with the Memorial Service",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
9,18,"The One with the Lottery",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
9,18,"The One with the Lottery",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
9,19,"The One with Rachel's Dream",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
9,19,"The One with Rachel's Dream",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
9,19,"The One with Rachel's Dream",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
9,20,"The One with the Soap Opera Party",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
9,20,"The One with the Soap Opera Party",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
9,20,"The One with the Soap Opera Party",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
9,21,"The One with the Fertility Test",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
9,21,"The One with the Fertility Test",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
9,21,"The One with the Fertility Test",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
9,22,"The One with the Donor",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
9,22,"The One with the Donor",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
9,22,"The One with the Donor",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
9,22,"The One with the Donor",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
9,23,"The One in Barbados: Part 1",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
9,23,"The One in Barbados: Part 1",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
9,23,"The One in Barbados: Part 1",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
9,24,"The One in Barbados: Part 2",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
9,24,"The One in Barbados: Part 2",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
9,24,"The One in Barbados: Part 2",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
10,1,"The One After Joey and Rachel Kiss",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
10,1,"The One After Joey and Rachel Kiss",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
10,1,"The One After Joey and Rachel Kiss",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
10,1,"The One After Joey and Rachel Kiss",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
10,2,"The One Where Ross Is Fine",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
10,2,"The One Where Ross Is Fine",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
10,2,"The One Where Ross Is Fine",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
10,2,"The One Where Ross Is Fine",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
10,3,"The One with Ross's Tan",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
10,3,"The One with Ross's Tan",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
10,3,"The One with Ross's Tan",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
10,4,"The One with the Cake",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
10,4,"The One with the Cake",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
10,5,"The One Where Rachel's Sister Babysits",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10,5,"The One Where Rachel's Sister Babysits",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
10,5,"The One Where Rachel's Sister Babysits",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
10,6,"The One with Ross' Grant",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
10,6,"The One with Ross' Grant",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
10,6,"The One with Ross' Grant",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
10,7,"The One with the Home Study",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
10,7,"The One with the Home Study",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
10,7,"The One with the Home Study",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
10,8,"The One with the Late Thanksgiving",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
10,8,"The One with the Late Thanksgiving",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
10,8,"The One with the Late Thanksgiving",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
10,9,"The One with the Birth Mother",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
10,9,"The One with the Birth Mother",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
10,9,"The One with the Birth Mother",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
10,10,"The One Where Chandler Gets Caught",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
